country_iso3,year,pillar_code,trajectory_class,trajectory_signal,intervention_family_label,country_sovereign_alert_level
RWA,2024,PMON,PROGRESSING,PROGRESSION_SIGNAL,Résilience monétaire et financière,YELLOW
RWA,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
RWA,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
RWA,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
SDN,2024,PECO,CRITICAL,DETERIORATION_ALERT,Diversification économique,YELLOW
SDN,2024,PENV,CRITICAL,DECLINE_SIGNAL,Résilience environnementale,YELLOW
SDN,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
SDN,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
SDN,2024,PMIL,STABLE,STABILITY_SIGNAL,Résilience sécuritaire,YELLOW
SDN,2024,PMIN,DECLINING,DETERIORATION_ALERT,Chaîne de valeur minière,YELLOW
SDN,2024,PMON,CRITICAL,DECLINE_SIGNAL,Résilience monétaire et financière,YELLOW
SDN,2024,PNUM,DECLINING,DETERIORATION_ALERT,Souveraineté numérique,YELLOW
SDN,2024,PRES,ACCELERATING,PROGRESSION_SIGNAL,Certification énergie-eau,YELLOW
SDN,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
SEN,2024,PECO,ACCELERATING,PROGRESSION_SIGNAL,Diversification économique,YELLOW
SEN,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
SEN,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
SEN,2024,PHUM,STABLE,STABILITY_SIGNAL,Capital humain,YELLOW
SEN,2024,PMIL,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
SEN,2024,PMIN,ACCELERATING,ACCELERATION_SIGNAL,Chaîne de valeur minière,YELLOW
SEN,2024,PMON,DECLINING,DECLINE_SIGNAL,Résilience monétaire et financière,YELLOW
SEN,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
SEN,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
SEN,2024,PTRA,DECLINING,DETERIORATION_ALERT,Transport et logistique,YELLOW
SLE,2024,PECO,STABLE,STABILITY_SIGNAL,Diversification économique,YELLOW
SLE,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
SLE,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
SLE,2024,PHUM,STABLE,STABILITY_SIGNAL,Capital humain,YELLOW
SLE,2024,PMIL,DECLINING,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
SLE,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
SLE,2024,PMON,ACCELERATING,PROGRESSION_SIGNAL,Résilience monétaire et financière,YELLOW
SLE,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
SLE,2024,PRES,STABLE,STABILITY_SIGNAL,Certification énergie-eau,YELLOW
SLE,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
SOM,2024,PECO,PROGRESSING,PROGRESSION_SIGNAL,Diversification économique,YELLOW
SOM,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
SOM,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
SOM,2024,PHUM,PROGRESSING,PROGRESSION_SIGNAL,Capital humain,YELLOW
SOM,2024,PMIL,ACCELERATING,ACCELERATION_SIGNAL,Résilience sécuritaire,YELLOW
SOM,2024,PMIN,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,YELLOW
SOM,2024,PMON,PROGRESSING,PROGRESSION_SIGNAL,Résilience monétaire et financière,YELLOW
SOM,2024,PNUM,ACCELERATING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
SOM,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
SOM,2024,PTRA,DECLINING,DETERIORATION_ALERT,Transport et logistique,YELLOW
SSD,2024,PECO,ACCELERATING,PROGRESSION_SIGNAL,Diversification économique,YELLOW
SSD,2024,PENV,DECLINING,DETERIORATION_ALERT,Résilience environnementale,YELLOW
SSD,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
SSD,2024,PHUM,PROGRESSING,PROGRESSION_SIGNAL,Capital humain,YELLOW
SSD,2024,PMIL,STABLE,STABILITY_SIGNAL,Résilience sécuritaire,YELLOW
SSD,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
SSD,2024,PMON,PROGRESSING,PROGRESSION_SIGNAL,Résilience monétaire et financière,YELLOW
SSD,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
SSD,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
SSD,2024,PTRA,PROGRESSING,PROGRESSION_SIGNAL,Transport et logistique,YELLOW
STP,2024,PECO,CRITICAL,DETERIORATION_ALERT,Diversification économique,YELLOW
STP,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
STP,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
STP,2024,PHUM,CRITICAL,DECLINE_SIGNAL,Capital humain,YELLOW
STP,2024,PMIL,DECLINING,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
STP,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
STP,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
STP,2024,PNUM,DECLINING,DETERIORATION_ALERT,Souveraineté numérique,YELLOW
STP,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
STP,2024,PTRA,PROGRESSING,PROGRESSION_SIGNAL,Transport et logistique,YELLOW
SWZ,2024,PECO,DECLINING,DETERIORATION_ALERT,Diversification économique,YELLOW
SWZ,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
SWZ,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
SWZ,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
SWZ,2024,PMIL,CRITICAL,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
SWZ,2024,PMIN,DECLINING,DETERIORATION_ALERT,Chaîne de valeur minière,YELLOW
SWZ,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
SWZ,2024,PNUM,STABLE,STABILITY_SIGNAL,Souveraineté numérique,YELLOW
SWZ,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
SWZ,2024,PTRA,PROGRESSING,PROGRESSION_SIGNAL,Transport et logistique,YELLOW
SYC,2024,PECO,CRITICAL,DECLINE_SIGNAL,Diversification économique,YELLOW
SYC,2024,PENV,DECLINING,DETERIORATION_ALERT,Résilience environnementale,YELLOW
SYC,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
SYC,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
SYC,2024,PMIL,CRITICAL,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
SYC,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
SYC,2024,PMON,STABLE,STABILITY_SIGNAL,Résilience monétaire et financière,YELLOW
SYC,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
SYC,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
SYC,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
TCD,2024,PECO,DECLINING,DECLINE_SIGNAL,Diversification économique,YELLOW
TCD,2024,PENV,DECLINING,DETERIORATION_ALERT,Résilience environnementale,YELLOW
TCD,2024,PGEO,DECLINING,DETERIORATION_ALERT,Gouvernance géopolitique et stabilité,YELLOW
