country_iso3,year,region_code,region_label,annual_direction,amar_risk_band,nb_pillars_observed,publication_status
MDG,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MLI,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MLI,2021,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MLI,2022,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MLI,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MLI,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MOZ,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MOZ,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MOZ,2022,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MOZ,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MOZ,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MRT,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MRT,2021,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MRT,2022,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MRT,2023,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MRT,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MUS,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MUS,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MUS,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MUS,2023,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MUS,2024,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MWI,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MWI,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MWI,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MWI,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MWI,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NAM,2020,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
NAM,2021,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
NAM,2022,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NAM,2023,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NAM,2024,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
NER,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
NER,2021,AFW,Afrique de l'Ouest,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
